Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,KEGG Pathways,MS2,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 23plus_RP_pos_MS2.raw (F18),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
NP-008999,C22 H28 O10,No match,Invalid mass,No results,No results,83954.84,490.12996,6.483,321193306.4,5,94.4,9.7,,DDA for preferred ion,297190597.6,2362836.963,2278605.337,4491860.946,321193306.4,320839004.6,1281461.685,1847589.171,3314247.69,2520150.175,4276308.615,64,16,16,16,32,0,0,16,16,16,16,128,32
NP-008999,C22 H28 O10,No match,Invalid mass,No results,No results,83954.71,490.1299,6.454,320839004.6,5,94,9.7,,DDA for preferred ion,297190597.6,2163959.567,2086823.873,4802259.719,282929524.5,320839004.6,1256653.348,1692089.997,4351020.832,2308036.561,4203833.949,0,16,16,16,32,128,64,16,16,16,16,128,32
Leucylproline,C11 H20 N2 O3,Full match,Full match,No results,Full match,0.04,228.1474,8.57,320620988.5,79,98.5,84.6,,DDA for preferred ion,100399742.7,62787279.11,7107669.736,111103541.7,99070382.49,115071882.3,63704203.22,320620988.5,107957468.6,110146013.5,21192734.26,128,128,16,128,128,128,128,128,0,128,16,128,16
"6-Methyl-3-(2-pyridyl)-1,2,4-triazin-5-ol",C9 H8 N4 O,No match,Invalid mass,No results,No match,-116901.64,166.08414,1.263,319265944.9,12,77,8.8,,DDA for preferred ion,1706487.147,284166158.2,258026080.7,13325456.27,1035726.842,1014700.755,306513589.1,319265944.9,17276185,286842345.2,15170058.31,32,0,0,128,64,32,32,0,0,128,0,128,16
3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,No results,Invalid mass,No results,No results,135646.96,184.0348,6.94,318892906.4,14,96.4,9.8,,DDA for preferred ion,36247587.17,170590677.7,318892906.4,279542072.4,34993097.75,40015188.44,104388330,284387784.5,232631632.9,167495059.1,232275657.8,128,0,0,0,128,128,0,0,0,0,64,64,16
[Similar to: NP-015005; ΔMass: -441.3129 Da],C29 H43 N5 O10 P2,Full match,Invalid mass,No results,No results,0.07,683.24856,1.709,316321011.9,227,,,,DDA for preferred ion,279559182.5,1665156.19,1133602.263,68304357.36,233035879.3,316321011.9,1772316.215,1326711.439,59775501.42,4651261.304,47620795.59,0,128,128,128,16,0,0,16,128,16,16,16,32
Palmitic Acid,C16 H32 O2,No match,Invalid mass,No results,No match,66447.57,273.26677,16.276,316043524.2,1,82.2,51.4,,DDA for preferred ion,297624065.1,5827216.688,17918126.2,6267112.933,315605574.1,316043524.2,312257541.1,306991205.3,5218576.795,8565696.835,5402174.983,64,16,16,16,16,64,64,64,0,16,16,16,16
D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,No results,64252.79,364.09813,1.521,312318546.3,8,93.8,9.7,,DDA for preferred ion,269485947.2,5538329.231,8112010.607,312318546.3,291005856.7,296101550.6,4869316.108,15982478.13,297657718.4,7760423.992,282042354.5,0,16,16,0,128,0,0,16,16,0,16,0,32
N~2~-Acetyl-L-ornithine,C7 H14 N2 O3,Full match,Invalid mass,Full match,Full match,0.2,174.10048,1.417,311743336.1,32,,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Other,DDA for preferred ion,233968332.3,6285458.659,2223056.508,2870520.684,258711047.2,311743336.1,1227878.739,882674.6892,1972362.191,5801325.373,2227039.878,0,128,128,16,16,0,0,128,128,16,128,16,32
NP-013538,C12 H16 O8,No match,Invalid mass,No results,No match,76304,310.06652,7.478,304017721.4,5,98.2,83.2,,DDA for preferred ion,265748183.9,1385616.472,1662963.435,175929234.5,279467079,304017721.4,1338981.575,1359356.991,95292495.02,1533540.387,56145781.13,0,16,16,0,32,0,0,16,16,0,16,0,32
Cyclo(leucylprolyl),C11 H18 N2 O2,Full match,Full match,No results,Full match,-0.08,210.13681,11.807,298523958.3,6,99.8,100,,DDA for preferred ion,208248642,248248156,252135006.7,210491743.5,198695009.1,232810672.1,220788554.6,242356372,222467237.5,298523958.3,181346064.1,0,0,0,0,128,0,0,0,0,0,0,0,16
"4-Oxo-3,4-dihydroquinazoline-2-carbohydrazide",C9 H8 N4 O2,No match,Invalid mass,No results,No results,-18.61,204.06093,1.192,293266651.3,6,66.8,8.3,,DDA for preferred ion,8323114.689,235978199.1,167843692.5,8392445.66,9562770.932,9785512.765,293266651.3,237361808.3,6970254.957,229886347.5,8097554.22,128,64,64,128,0,128,128,0,64,128,64,128,32
[Similar to: (±)5(6)-DiHET; ΔMass: -166.1745 Da],,No results,Invalid mass,No results,No results,,172.07118,1.886,292207167.4,16,,,,DDA for preferred ion,279616.6235,292207167.4,124510555.1,80115625.73,776007.0632,439915.1879,284995967.6,140526131.8,49962816.32,279708098.8,48623518.91,16,0,0,0,128,128,16,0,0,128,0,128,16
"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: 306.0929 Da]",C22 H30 N6 O16,Full match,Invalid mass,No results,No results,0.82,634.17235,5.97,289096275.5,45,,,,DDA for preferred ion,279708423.6,795551.2559,755807.0176,19962510.59,26271158.81,289096275.5,648001.8797,1220158.252,2851349.801,880842.741,857518.068,0,32,32,128,32,16,16,32,32,16,32,128,32
Adenine,C5 H5 N5,Full match,Full match,Full match,Partial match,-0.07,135.05449,1.993,286452195.9,48,99.7,10,Metabolic pathways;Biosynthesis of secondary metabolites;Other,DDA for preferred ion,271069273.1,7538443.903,3171489.706,1108039.264,261585760.5,286452195.9,9426355.145,15781235.69,872804.5259,7982734.082,773124.5518,0,128,128,128,128,0,0,128,128,128,128,128,16
3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,No results,Invalid mass,No results,No results,135646.97,184.0348,6.912,284387784.5,27,96.4,9.8,,DDA for preferred ion,36247587.17,1448614.069,1412096.661,4676253.677,1390678.981,1108066.994,5272271.584,284387784.5,232631632.9,167495059.1,232275657.8,128,16,16,16,16,16,16,16,64,64,0,0,16
"1-Methyl-5-(1-piperidinyl)-2,4-imidazolidinedione",C9 H15 N3 O2,Full match,Invalid mass,No results,Full match,0.32,197.11649,1.014,281542463.3,55,,,,DDA for preferred ion,11091725.31,149096023.5,281542463.3,17386098.25,13198526.41,11562059.49,11356965.1,155548996.9,13481167.32,139920721,12058633.8,128,128,0,128,128,128,128,128,128,128,0,128,32
2'-Deoxyadenosine,C10 H13 N5 O3,Full match,Full match,Full match,Full match,0.16,251.10188,6.256,280463620.9,32,99.6,93.4,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,285740.692,232142211.1,166600307.6,142883605.4,74600125.5,92947028.69,205099485.8,256667910.2,93386784.03,280463620.9,72729124.24,32,0,0,0,128,0,0,0,0,0,0,0,16
[Similar to: Muramic acid; ΔMass: 162.0529 Da],C15 H27 N O12,Full match,Invalid mass,No results,No results,0.25,413.15343,1.297,270469885.1,3,,,,DDA for preferred ion,189464935,30357526.01,13917529.68,36185016.45,232972840.6,270469885.1,19498633.86,17448365.19,15517201.18,40429067.53,10095056.2,0,128,128,128,16,0,0,128,128,128,128,128,32
Linamarin,C10 H17 N O6,Full match,Invalid mass,Full match,Full match,-0.1,247.10556,1.249,270100837.6,4,,,Metabolic pathways;Biosynthesis of secondary metabolites;Cyanoamino acid metabolism,DDA for preferred ion,100994167.6,13514004.06,11311158.74,270100837.6,97457007.42,108811369.4,9586004.387,6952471.28,192183001,11074188.7,176056495.6,64,128,128,0,32,64,64,128,128,64,128,64,32
"3,4-Methylenedioxy-N-propylamphetamine",C13 H19 N O2,Full match,Invalid mass,No results,Full match,0.02,221.14158,15.957,269305248.1,6,,,,DDA for preferred ion,1716439.868,1938729.378,2484424.591,7164835.089,3006915.615,11155569.3,5520480.409,3940401.547,269305248.1,250064577.6,253360862.6,16,16,16,16,16,16,16,16,16,0,0,0,16
FUB-PB-22 3-carboxyindole metabolite,C16 H12 F N O2,No match,Invalid mass,No results,No match,8.74,269.08756,5.239,268532164.5,11,75.2,8.8,,DDA for preferred ion,101568645.4,9338037.392,7586788.758,18906244.94,3596980.532,9068143.556,3954466.116,168419227.3,268532164.5,123929464.8,180296218.3,0,16,16,16,16,16,16,16,128,0,0,0,32
Υ-Aminobutyric acid (GABA),C4 H9 N O2,Full match,Full match,Full match,Partial match,-0.07,103.06332,1.101,264940751.8,12,70.4,44.4,Metabolic pathways;Microbial metabolism in diverse environments;Other,DDA for preferred ion,246451385.3,113441618.7,172909432.2,164929060.6,235492276.8,264940751.8,37593447.53,114133245.6,119459976.6,106522609.8,77911574.62,0,128,128,0,128,0,0,128,128,0,128,0,16
"pentane-1,2,3,4,5-pentol",C5 H12 O5,Full match,Full match,Full match,Full match,0.05,152.06848,1.194,262367675.3,3,99.2,96.2,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,4844828.107,166253839.6,256087552.6,4536732.158,3348472.981,4670843.224,166626695.7,262367675.3,4288420.686,233632911.1,4234659.766,128,0,0,128,128,16,128,0,0,128,0,16,32
"N,N-Dimethyl-4-{5-[(3S)-1-(phenylsulfonyl)-3-pyrrolidinyl]-1,3,4-oxadiazol-2-yl}aniline",C20 H22 N4 O3 S,No match,Invalid mass,No results,No results,55214.36,420.12438,4.025,259412281.4,15,98.1,9.9,,DDA for preferred ion,15376653.2,177657.8068,600657.9247,32756019.88,227391384,259412281.4,163300.088,326475.4557,4182974.248,241020.248,1997761.978,16,32,16,128,32,0,0,32,128,16,16,16,32
"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",C12 H20 O10,Full match,Invalid mass,No results,Full match,0.19,324.10571,1.407,256843719.9,104,,,,DDA for preferred ion,256843719.9,9840488.763,10754373.64,91894202.92,228331384.2,235526684.9,6210229.663,12750150.52,84201454.04,9520359.709,72467951.41,0,128,128,0,128,0,0,128,128,0,128,0,32
FUB-PB-22 3-carboxyindole metabolite,C16 H12 F N O2,No match,Invalid mass,No results,No match,8.79,269.08757,5.288,255955062.6,9,75.2,8.8,,DDA for preferred ion,5764150.755,129280533.3,165712351.4,255955062.6,110177624.1,160034686.1,115120992.8,155658044,9164528.177,5891634.394,6743330.801,16,128,0,0,128,0,0,128,128,16,16,16,32
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,18.891,255870744.8,83,75.7,55.8,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,DDA for preferred ion,177213.1932,588990.5784,566241.6862,234760098.8,670183.315,301008.5927,761815.1756,179631.0311,234092696.8,513121.553,255870744.8,32,16,16,0,16,16,16,16,32,0,128,0,16
DL-α-AMINOSUBERIC ACID,C8 H15 N O4,Full match,Not the top hit,No results,Full match,0.09,189.10012,6.982,251875394.1,20,,,,DDA for preferred ion,510954.4531,2603098.523,1448185.786,251875394.1,704221.1367,973737.6721,814021.3075,1302598.937,192510047.7,1920519.912,119150950.5,16,128,128,0,16,128,128,128,128,0,128,64,16
NP-012042,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.98,178.06303,19.436,251863759.2,55,66.6,47.4,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,498876.491,516190.9721,547113.7517,194018673.9,482447.0582,632077.1581,489112.6163,581006.9596,200075277.2,835942.9605,251863759.2,32,16,32,0,32,32,16,32,16,0,16,0,32
"[Similar to: 2-(4-chlorophenyl)-2-oxoethyl 2,6-bis(trifluoromethyl)benzoate; ΔMass: -184.0702 Da]",C3 H3 N2 O6 P S,Full match,Invalid mass,No results,No results,-3.23,225.94421,0.965,251610829.8,7,,,Metabolic pathways;Microbial metabolism in diverse environments;Other,DDA for preferred ion,179715556.7,239349329.3,242791319.8,201458735.8,187494894,198175663.1,251610829.8,199577609,208311362.4,241412701.2,180118257.3,0,0,0,0,128,0,0,0,0,0,0,0,128
1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,Full match,Invalid mass,No results,Full match,-0.04,265.11614,1.182,251003372.1,1,,,,DDA for preferred ion,148619730.3,8691371.065,6003059.265,159721711.1,99799389.94,143461123.1,10251867.22,6531321.113,251003372.1,10883050.4,222502351.7,0,16,16,128,128,128,0,16,128,0,16,0,32
Tetrolic Acid,C4 H4 O2,Full match,No results,No results,Full match,0.18,84.02114,1.199,246608510.8,0,,,Metabolic pathways;Other,DDA for preferred ion,206276175.5,15939371.68,17989441.02,134724750.8,166631497.5,246608510.8,17586449.41,1275477.348,121185912.7,2759229.838,100680648.4,128,128,128,0,16,0,0,128,32,0,16,0,16
[Similar to: NP-019838; ΔMass: -563.3496 Da],C25 H43 N5 O18,Full match,Invalid mass,No results,No results,-1.55,701.25922,1.31,245800849.1,113,,,,DDA for preferred ion,238514659,6614072.03,12266452.39,98019802.47,220331930.9,245800849.1,559651.5688,11479447.57,86405057.47,2709964.531,75960130.15,0,128,128,0,32,0,0,16,128,0,128,0,32
"N,N-Dimethyl-4-{5-[(3S)-1-(phenylsulfonyl)-3-pyrrolidinyl]-1,3,4-oxadiazol-2-yl}aniline",C20 H22 N4 O3 S,No match,Invalid mass,No results,No results,55214.36,420.12438,3.97,244076978.9,15,98.3,9.9,,DDA for preferred ion,244076978.9,326215.0416,490374.1153,2722178.56,13491359.17,17208874.62,164757.4406,347069.5757,37070482.83,478840.4486,12007241.1,0,16,16,16,32,16,16,32,32,128,16,128,32
"1,5-Anhydro-6-deoxy-D-threo-hex-1-en-3-ulose",C6 H8 O4,Full match,Invalid mass,Partial match,Full match,-0.1,144.04224,1.196,242118330.8,99,,,Microbial metabolism in diverse environments;Other,DDA for preferred ion,242118330.8,4964748.762,3458499.689,168635479.2,217118161,239518460.1,5526883.574,4064938.711,154254175.9,5076142.158,126311248,64,128,16,0,16,64,64,16,16,0,16,0,16
"2-Hexyl-3,5-dipentylpyridine",C21 H37 N,Full match,Invalid mass,No results,Full match,0.16,303.29265,17.009,241414930.5,2,,,,DDA for preferred ion,636593.3834,8079928.77,1209554.527,3343285.572,168255.3974,26194617.03,241414930.5,229706125.6,223281446.5,211576635.7,211489111.4,16,16,16,16,16,32,16,64,0,0,64,64,16
[Similar to: diethyl 2-({2-[2-(methoxycarbonyl)-3-thienyl]hydrazino}methylene)malonate; ΔMass: -124.1122 Da],C3 H7 Cl N2 O5 S,Full match,Invalid mass,No results,No results,-0.4,217.97633,0.846,240466939,1,,,,DDA for preferred ion,199347305,151106451.7,168473629.2,176647985.7,188540167.5,240466939,105525782.4,189083024.9,146173226.7,160827891,108707895.3,0,0,0,0,16,0,0,0,0,0,0,0,16
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,No match,-98927.47,164.04738,19.194,240163555.1,4,80,9,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;D-Amino acid metabolism;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;Other",DDA for preferred ion,559888.3527,341088.9831,259770.6354,174425850.9,585115.8772,546120.1573,511192.3186,886606.6155,211220288.3,410068.2871,240163555.1,32,32,32,0,32,32,32,32,32,0,32,0,32
"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one",C6 H8 O4,Full match,Full match,Partial match,Partial match,-0.11,144.04224,1.318,236640525.3,73,63.5,66,Microbial metabolism in diverse environments;Other,DDA for preferred ion,203370778.6,13755970.78,14573353.85,33951150.62,236640525.3,223471354,6285227.972,11196432.53,34401385.47,12175844.15,32070133.39,0,16,16,128,16,0,0,16,128,128,16,128,16
(+)-Piperitol,C20 H20 O6,Full match,Invalid mass,Partial match,Full match,0.24,356.12607,19.617,236600897,84,,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;Other,DDA for preferred ion,246035.7965,251618.3539,271926.5883,228546938.7,423841.8008,252350.8217,279032.4511,280873.0558,210695743.2,245557.2911,236600897,32,32,32,0,32,128,32,32,32,0,32,0,32
Methyl piperonyl ketone,C10 H10 O3,Full match,Invalid mass,No results,Full match,0.23,178.06304,19.375,234300687.2,73,,,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,534376.2662,623806.3878,677607.5609,198515820.7,570638.3196,587050.3085,598997.0771,584692.2241,195784285.6,941948.8297,234300687.2,32,32,32,0,32,32,32,32,32,0,32,64,32
"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Not the top hit,Full match,No results,Partial match,0.04,402.16787,17.234,231133144,37,99,10,,DDA for preferred ion,255358.1027,343325.2632,447810.9326,196713458.7,460447.72,253804.2996,248287.1997,279408.0053,231133144,402408.0854,182329160.3,32,16,128,0,32,16,32,32,32,0,16,0,16
"6-chloro-2-(3-ethyl-5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)-4-phenylquinoline",C31 H32 Cl N,No match,Full match,No results,No match,3.42,453.22388,15.788,226302388.4,5,81.8,9.1,,DDA for preferred ion,405340.7818,25039155.29,183775947.1,416936.7502,350856.2623,365225.0145,23807688.14,226302388.4,292714.7404,49682003.27,286358.1005,32,128,0,16,128,32,32,128,0,32,128,32,32
"2-Hexyl-3,5-dipentylpyridine",C21 H37 N,Full match,Invalid mass,No results,Full match,0.11,303.29263,16.99,223281446.5,4,,,,DDA for preferred ion,637165.3573,8087188.518,1210641.302,335459.58,154866.3027,2139749.696,1348716.7,6487456.385,223281446.5,211576635.7,211489111.4,16,16,16,16,16,32,16,16,16,64,0,0,16
Ergocalciferol,C28 H44 O,No match,Invalid mass,No results,No match,-45442.27,378.32866,20.512,222782998,6,83.7,77.8,,DDA for preferred ion,262460.8628,20372949.97,77821014.73,929795.229,3984782.017,848116.4741,18586166.03,222782998,432387.3118,32219734.51,447004.2242,32,128,0,128,128,128,128,128,0,16,128,128,32
"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",C9 H17 N O6,Full match,Invalid mass,No results,Full match,-0.14,235.10555,2.776,222611484.4,17,,,,DDA for preferred ion,503212.8934,40022618.62,40442694,33583606.62,1045111.108,913004.9954,112363598.7,222611484.4,11459969.96,79786903.71,26463451.41,32,128,128,128,128,16,16,64,0,128,128,128,32
6-(alpha-D-glucosaminyl)-1D-myo-inositol,C12 H23 N O10,Full match,Invalid mass,No results,Full match,0.14,341.13224,1.041,221672664.5,19,,,Metabolic pathways;Other,DDA for preferred ion,217074903.5,20230391.55,21115499.3,74932080.44,217246359.9,221672664.5,13872100.56,19511969.14,60916083.68,21325375.67,46933391.67,64,128,128,0,128,64,0,128,128,0,128,128,32
,,No results,No results,No results,No results,,85.98542,0.846,221528498.4,0,,,,DDA for preferred ion,177586718.4,145706412.8,155024309.6,165367891.9,184355409.7,221528498.4,119459084.5,162930387.7,160515478.1,160980066.8,140705289.9,0,0,0,0,128,0,0,0,0,0,0,0,16
"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Full match,Full match,No results,Partial match,0.13,402.1679,19.154,221437057.9,56,99.3,10,,DDA for preferred ion,195601.4677,186560.5051,274952.4172,221280831.3,203498.821,195923.7725,197953.1811,204297.1045,209527461.9,182443.883,221437057.9,32,32,16,0,32,32,32,32,32,0,32,0,32
benzylidenemethylamine,C8 H9 N,Full match,Invalid mass,No results,Full match,-0.34,119.07346,6.898,218477175.5,132,,,,DDA for preferred ion,127814768.9,98204792.99,73029797.87,49024505.79,129979318.5,162604828.1,84725824.4,218477175.5,131874.3669,6997303.835,120811.3208,0,0,0,128,128,0,0,0,0,32,16,32,32
"[Similar to: 2-(2-thienyl)-1,3-thiazole-4-carboxylic acid; ΔMass: -38.9050 Da]",,No results,Invalid mass,No results,No results,,172.07118,2.092,215780799.9,10,,,,DDA for preferred ion,428259.5454,215780799.9,103567857.8,12177862.56,621586.2504,373931.638,155623393,40478410.39,6374744.433,178936005.9,6405188.184,16,0,0,128,128,128,16,0,128,128,0,128,16
1-(Dimethylamino)-2-propanyl acetate,C7 H15 N O2,Full match,Invalid mass,No results,Full match,0.14,145.1103,7.793,215769430.6,15,,,,DDA for preferred ion,509845.4973,3142823.599,629927.0644,215769430.6,307097.4677,414578.3584,501080.3592,488076.3512,207502586,5834775.228,174549784.7,16,128,128,0,128,128,16,16,16,0,128,0,16
Dipropylene glycol dimethyl ether,C8 H18 O3,Full match,Full match,No results,Partial match,0.05,162.1256,13.289,213739429.4,10,91.2,82.8,,DDA for preferred ion,173391341.8,177663966.7,168576426,197955612.1,187845703.3,193060008.4,195221731.6,183337504.2,115880236.3,108471563.7,112674824.8,0,0,0,0,0,0,0,0,0,128,128,128,16
Amitriptyline-d3,C20 H20 H3 N,No match,Invalid mass,No results,No match,7.01,280.20384,19.795,212214112.3,4,65.8,43.5,,DDA for preferred ion,4823811.489,79994600.84,27254372.28,5929955.259,4688058.066,3883216.923,212214112.3,32275314.94,4923490.725,118071403,4384827.192,128,0,128,128,16,128,128,128,128,128,0,128,128
[Similar to: NP-016755; ΔMass: -960.7865 Da],C5 H8 N6 O4,Full match,Invalid mass,No results,No match,1.19,216.06096,1.571,212097132.1,10,,,,DDA for preferred ion,135999941.9,6668939.601,75511168.66,212097132.1,141248454.8,155223636.5,40391009.21,2785094.738,132104596.9,4383354.996,115168336.1,128,16,128,128,128,0,128,128,16,128,16,128,32
Cyclo(phenylalanyl-prolyl),C14 H16 N2 O2,Full match,Full match,No results,Full match,0.01,244.12118,12.355,210619493.8,14,99.3,97.4,,DDA for preferred ion,142749455.6,171579988.2,189331150.6,189013096.3,141376156.8,168630442.3,159291251.6,183190940.6,164077740.6,210619493.8,146221314.2,0,0,0,0,128,0,0,0,0,0,0,0,16
2'-Deoxyadenosine,C10 H13 N5 O3,Full match,Full match,Full match,Full match,-0.06,251.10182,6.221,210344750.5,32,99.7,93.4,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,92761423.95,1224261.162,2188624.219,2700611.339,1992058.771,752669.2118,1258292.001,210344750.5,1769957.634,3490995.252,1226706.097,0,16,16,16,16,16,16,16,64,16,16,16,16
NP-022068,C8 H12 O5,No results,Invalid mass,No results,No results,-12.6,188.0661,1.265,210219919.6,4,71.4,8.6,,DDA for preferred ion,554478.7918,167507483.9,153473490.3,7127346.824,336532.6068,589933.8496,210219919.6,174844764.6,8699121.289,163192384.7,8515943.582,32,64,64,128,0,32,32,64,64,128,64,128,32
2-Fluoro-6-(4-methoxyphenoxy)benzonitrile,C14 H10 F N O2,No match,Invalid mass,No results,No results,9.46,243.07186,1.781,210204565,30,96.4,9.8,,DDA for preferred ion,471960.0293,184057381.6,161737169.9,7322471.94,512094.4619,562524.4191,154946305.2,210204565,4246188.912,198831136.7,3704322.495,16,0,128,16,128,16,16,128,128,16,128,16,32
6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,No match,Invalid mass,No results,No results,166382.13,266.0515,4.319,208063426.4,8,96.8,9.8,,DDA for preferred ion,3284768.414,44385243.86,46096879.54,6519190.97,159337530.9,208063426.4,37898418.03,128646493.8,3900976.056,346516.962,159015.1911,16,128,128,16,16,0,0,128,0,16,16,16,32
AMIDINOPROLINE,C6 H11 N3 O2,Full match,Not the top hit,No results,Full match,0.16,157.08515,3.153,207382568.3,65,,,,DDA for preferred ion,3268597.179,168206411.2,165700537.1,207382568.3,119910914.4,143125844.8,150583162.5,201259300.4,1708231.124,6275531.487,4586869.433,16,0,0,0,128,0,0,0,0,16,16,16,16
Penicillic acid,C8 H10 O4,No results,Invalid mass,No results,No results,-13.91,170.05554,4.608,206016250,31,84.1,52.5,,DDA for preferred ion,468842.3776,66661299.65,206016250,42651759.58,914700.2564,431484.8507,3358745.884,202873299.9,481899.8414,1438921.354,631417.5052,128,128,0,128,128,128,16,128,0,16,16,16,16
(+)-Piperitol,C20 H20 O6,Full match,Invalid mass,Partial match,Full match,0.26,356.12608,19.372,205555662.7,85,,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;Other,DDA for preferred ion,565180.7806,643139.6922,570840.9916,160249940.5,576850.2104,593128.3613,606515.9441,591284.3813,173437869.4,1255029.079,205555662.7,32,32,32,64,32,32,32,32,32,64,32,0,32
"3-Morpholino-4-tetrahydro-1H-pyrrol-1-ylcyclobut-3-ene-1,2-dione",C12 H16 N2 O3,Full match,Full match,Partial match,Partial match,-0.31,236.11602,15.553,204233914.8,33,61.4,46.5,,DDA for preferred ion,123294.9875,129460.0714,204233914.8,197265.2551,178468.8985,132022.4003,128625.1012,81887191.23,118805.7183,119019.4446,116761.5111,32,32,0,128,128,16,32,32,0,32,32,32,32
8-hydroxy-deoxyguanosine,C10 H13 N5 O5,Full match,Invalid mass,Partial match,Full match,0.19,283.09172,6.33,203843053.3,32,,,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,11086837.17,129282710.1,145852985.8,113610042.6,172361915.9,203843053.3,94659852.16,8856113.516,80251416.69,5829097.695,264834.9642,16,64,64,0,128,64,64,64,16,64,16,16,128
Beauvericin,C45 H57 N3 O9,No match,Invalid mass,No results,No results,28059.54,805.39159,20.705,202408749,2,91.8,78.2,,DDA for preferred ion,222975.4104,277148.6895,71344245.52,221325.5322,221167.4212,225899.8551,302436.006,202408749,238273.8948,610007.061,237543.9083,32,16,0,32,128,32,32,16,0,32,128,32,32
Penicillic acid,C8 H10 O4,Full match,Full match,No results,Full match,0.24,170.05795,9.813,201428792.3,50,86,70,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,DDA for preferred ion,569873.2685,7669348.869,128685226.6,745744.5671,632857.8907,506951.6386,3759523.743,201428792.3,429649.3422,17143428.37,588243.1933,16,128,0,16,128,16,16,128,0,16,128,16,16
